user_id,age,occupation,gender
155956,34,executive/managerial,M
391355,32,scientist,M
578927,29,college/grad student,M
528217,30,college/grad student,M
854580,31,doctor/health care,F
12777,30,college/grad student,M
173769,29,college/grad student,F
507911,34,executive/managerial,M
397983,20,sales/marketing,M
938384,31,college/grad student,F
691093,28,college/grad student,M
514163,25,programmer,M
21370,32,clerical/admin,M
692766,30,executive/managerial,M
556234,34,K-12 student,M
16531,27,executive/managerial,M
160348,32,self-employed,M
227716,28,executive/managerial,M
68862,34,executive/managerial,M
543087,29,sales/marketing,M
210093,81,retired,M
809044,25,other or not specified,F
914629,31,executive/managerial,M
744039,25,homemaker,M
412727,26,self-employed,F
656033,32,college/grad student,F
391950,34,executive/managerial,M
194072,31,college/grad student,M
323129,41,other or not specified,M
903328,28,homemaker,F
856297,32,executive/managerial,F
599450,31,sales/marketing,M
381219,27,sales/marketing,M
613400,34,executive/managerial,M
346594,30,K-12 student,M
773240,31,college/grad student,M
468064,32,sales/marketing,M
324247,28,college/grad student,F
732953,28,sales/marketing,M
152694,26,scientist,M
374965,26,college/grad student,M
186916,30,K-12 student,M
930423,31,college/grad student,M
1940,31,sales/marketing,M
844142,34,executive/managerial,M
93202,31,academic/educator,M
931459,26,college/grad student,F
632211,29,academic/educator,M
177686,30,college/grad student,M
799855,25,sales/marketing,M
229637,21,K-12 student,M
283695,26,college/grad student,M
597048,41,technician/engineer,M
600744,27,college/grad student,F
525059,75,college/grad student,M
472406,32,other or not specified,F
49536,25,college/grad student,M
414482,33,executive/managerial,M
636802,31,college/grad student,M
467838,25,college/grad student,M
358579,30,college/grad student,M
690929,26,self-employed,M
170179,32,academic/educator,F
838117,34,college/grad student,M
73324,34,college/grad student,F
659082,26,sales/marketing,M
357188,27,programmer,M
794456,21,sales/marketing,M
671703,25,college/grad student,M
260968,25,sales/marketing,M
864553,33,homemaker,M
465761,26,college/grad student,F
588089,22,sales/marketing,M
477232,26,executive/managerial,M
262035,69,retired,F
514167,28,sales/marketing,M
250383,29,farmer,M
423569,28,scientist,F
306567,18,K-12 student,F
844802,30,executive/managerial,M
402968,18,homemaker,M
89677,27,sales/marketing,M
508298,25,executive/managerial,M
582684,33,college/grad student,M
559097,27,college/grad student,M
42690,28,sales/marketing,M
822335,27,homemaker,M
77383,28,executive/managerial,M
56893,32,executive/managerial,M
388771,29,executive/managerial,F
722712,41,executive/managerial,F
937840,33,executive/managerial,M
180149,19,sales/marketing,M
336240,21,college/grad student,M
271718,34,academic/educator,F
158595,27,clerical/admin,F
607619,27,sales/marketing,M
584741,32,scientist,M
580243,34,college/grad student,M
835031,34,college/grad student,M
535120,54,executive/managerial,M
142498,37,self-employed,F
144984,25,scientist,M
249328,85,technician/engineer,M
252235,86,retired,F
922734,31,self-employed,M
34903,31,executive/managerial,M
566665,31,college/grad student,M
895674,32,clerical/admin,M
413187,34,executive/managerial,M
874790,26,tradesman/craftsman,M
895203,34,other or not specified,M
688736,27,executive/managerial,M
48219,33,college/grad student,F
721497,34,executive/managerial,M
640431,31,college/grad student,M
771311,30,executive/managerial,M
44466,49,clerical/admin,M
267654,30,programmer,M
553161,34,college/grad student,F
478793,31,college/grad student,M
8958,23,sales/marketing,M
833440,28,executive/managerial,M
8780,25,college/grad student,M
512035,33,artist,M
297732,27,sales/marketing,M
546012,26,scientist,M
741317,31,college/grad student,M
784918,29,college/grad student,M
68986,32,college/grad student,M
190909,28,sales/marketing,M
28621,33,executive/managerial,M
434526,31,executive/managerial,M
635096,33,sales/marketing,M
746136,30,sales/marketing,M
