time,userid,status
2023-04-16T12:07:22,786105,200
2023-04-16T12:07:22,357229,200
2023-04-16T12:07:23,716898,200
2023-04-16T12:07:24,231279,200
2023-04-16T12:07:25,268924,200
2023-04-16T12:07:25,397022,200
2023-04-16T12:07:25,768645,200
2023-04-16T12:07:26,496262,200
2023-04-16T12:07:26,391513,200
2023-04-16T12:07:27,233646,200
2023-04-16T12:07:28,660025,200
2023-04-16T12:07:28,825226,200
2023-04-16T12:07:28,812699,200
2023-04-16T12:07:28,54368,200
2023-04-16T12:07:29,144982,200
2023-04-16T12:07:29,790173,200
2023-04-16T12:07:30,395033,200
2023-04-16T12:07:31,303377,200
2023-04-16T12:07:31,46852,200
2023-04-16T12:07:33,650432,200
2023-04-16T12:07:34,555086,200
2023-04-16T12:07:34,933336,200
2023-04-16T12:07:36,551416,200
2023-04-16T12:07:36,433127,200
2023-04-16T12:07:36,22058,200
2023-04-16T12:07:37,548569,200
2023-04-16T12:07:37,955693,200
2023-04-16T12:07:38,434393,200
2023-04-16T12:07:39,790823,200
2023-04-16T12:07:39,727256,200
2023-04-16T12:07:39,386525,200
2023-04-16T12:07:40,133394,200
2023-04-16T12:07:40,948208,200
2023-04-16T12:07:41,886676,200
2023-04-16T12:07:42,255503,200
2023-04-16T12:07:42,522798,200
2023-04-16T12:07:42,328573,200
2023-04-16T12:07:44,261220,200
2023-04-16T12:07:44,576567,200
2023-04-16T12:07:44,663411,200
2023-04-16T12:07:45,523256,200
2023-04-16T12:07:45,888146,200
2023-04-16T12:07:46,214269,200
2023-04-16T12:07:46,6353,200
2023-04-16T12:07:47,235327,200
2023-04-16T12:07:48,403186,200
2023-04-16T12:07:48,131983,200
2023-04-16T12:07:48,995572,200
2023-04-16T12:07:49,770818,200
2023-04-16T12:07:49,456234,200
2023-04-16T12:07:50,256535,200
2023-04-16T12:07:50,402928,200
2023-04-16T12:07:51,778473,200
2023-04-16T12:07:52,660028,200
2023-04-16T12:07:52,149974,200
2023-04-16T12:07:52,185007,200
2023-04-16T12:07:53,782258,200
2023-04-16T12:07:54,861491,200
2023-04-16T12:07:54,389870,200
2023-04-16T12:07:56,277950,200
2023-04-16T12:07:56,994504,200
2023-04-16T12:07:57,84363,200
2023-04-16T12:07:57,279614,200
2023-04-16T12:07:57,561872,200
2023-04-16T12:07:58,539203,200
2023-04-16T12:07:58,576439,200
2023-04-16T12:07:59,529865,200
2023-04-16T12:07:59,999096,200
2023-04-16T12:08:00,705174,200
2023-04-16T12:08:01,881692,200
2023-04-16T12:08:01,963005,200
2023-04-16T12:08:01,9045,200
2023-04-16T12:08:02,880135,200
2023-04-16T12:08:02,202962,200
2023-04-16T12:08:02,37895,200
2023-04-16T12:08:03,823024,200
2023-04-16T12:08:04,80946,200
2023-04-16T12:08:04,245483,200
2023-04-16T12:08:06,36982,200
2023-04-16T12:08:07,554783,200
2023-04-16T12:08:07,84973,200
2023-04-16T12:08:08,280629,200
2023-04-16T12:08:08,130775,200
2023-04-16T12:08:08,92511,200
2023-04-16T12:08:09,873561,200
2023-04-16T12:08:09,123756,200
2023-04-16T12:08:09,435271,200
2023-04-16T12:08:10,656176,200
2023-04-16T12:08:10,108030,200
2023-04-16T12:08:11,4556,200
2023-04-16T12:08:11,163974,200
2023-04-16T12:08:12,949322,200
2023-04-16T12:08:12,300848,200
2023-04-16T12:08:12,8123,200
2023-04-16T12:08:13,794805,200
2023-04-16T12:08:13,95222,200
2023-04-16T12:08:13,130560,200
2023-04-16T12:08:14,476815,200
2023-04-16T12:08:14,985516,200
2023-04-16T12:08:14,575347,200
2023-04-16T12:08:14,280992,200
2023-04-16T12:08:15,177992,200
2023-04-16T12:08:15,557174,200
2023-04-16T12:08:15,671156,200
2023-04-16T12:08:16,454011,200
2023-04-16T12:08:16,40699,200
2023-04-16T12:08:17,583384,200
2023-04-16T12:08:17,333511,200
2023-04-16T12:08:17,376143,200
2023-04-16T12:08:17,112836,200
2023-04-16T12:08:18,398790,200
2023-04-16T12:08:19,283759,200
2023-04-16T12:08:20,476831,200
2023-04-16T12:08:21,926323,200
2023-04-16T12:08:22,195467,200
2023-04-16T12:08:23,254318,200
2023-04-16T12:08:24,905287,200
2023-04-16T12:08:24,659828,200
2023-04-16T12:08:25,724147,200
2023-04-16T12:08:26,558638,200
2023-04-16T12:08:26,608470,200
2023-04-16T12:08:27,894917,200
2023-04-16T12:08:27,971725,200
2023-04-16T12:08:27,284800,200
2023-04-16T12:08:27,753469,200
2023-04-16T12:08:28,996040,200
2023-04-16T12:08:28,802650,200
2023-04-16T12:08:28,252628,200
2023-04-16T12:08:29,752002,200
2023-04-16T12:08:29,863792,200
2023-04-16T12:08:30,16294,200
2023-04-16T12:08:31,21224,200
2023-04-16T12:08:31,660221,200
2023-04-16T12:08:31,950333,200
2023-04-16T12:08:32,962972,200
2023-04-16T12:08:32,798863,200
2023-04-16T12:08:32,948200,200
2023-04-16T12:08:33,322679,200
2023-04-16T12:08:34,23160,200
2023-04-16T12:08:35,73368,200
2023-04-16T12:08:36,134201,200
2023-04-16T12:08:36,562471,200
2023-04-16T12:08:37,842009,200
2023-04-16T12:08:37,843914,200
2023-04-16T12:08:37,557057,200
2023-04-16T12:08:38,814795,200
2023-04-16T12:08:38,718651,200
2023-04-16T12:08:38,255418,200
2023-04-16T12:08:39,440579,200
2023-04-16T12:08:40,275946,200
2023-04-16T12:08:40,196611,200
2023-04-16T12:08:41,519216,200
2023-04-16T12:08:42,111006,200
2023-04-16T12:08:42,341513,200
2023-04-16T12:08:43,647201,200
2023-04-16T12:08:44,745903,200
2023-04-16T12:08:44,430604,200
2023-04-16T12:08:44,830910,200
2023-04-16T12:08:44,455677,200
2023-04-16T12:08:45,916242,200
2023-04-16T12:08:45,908396,200
2023-04-16T12:08:46,392575,200
2023-04-16T12:08:47,193913,200
2023-04-16T12:08:47,425934,200
2023-04-16T12:08:47,699307,200
2023-04-16T12:08:48,880196,200
2023-04-16T12:08:48,93911,200
2023-04-16T12:08:49,887584,200
2023-04-16T12:08:49,606341,200
2023-04-16T12:08:50,51916,200
2023-04-16T12:08:50,247271,200
2023-04-16T12:08:51,220935,200
2023-04-16T12:08:51,753251,200
2023-04-16T12:08:51,257182,200
2023-04-16T12:08:52,21765,200
2023-04-16T12:08:52,965218,200
2023-04-16T12:08:53,368105,200
2023-04-16T12:08:53,887843,200
2023-04-16T12:08:53,757454,200
2023-04-16T12:08:54,426851,200
2023-04-16T12:08:54,436552,200
2023-04-16T12:08:55,483708,200
2023-04-16T12:08:55,899189,200
2023-04-16T12:08:56,105123,200
2023-04-16T12:08:56,835840,200
2023-04-16T12:08:56,580310,200
2023-04-16T12:08:56,805800,200
2023-04-16T12:08:56,67741,200
2023-04-16T12:08:57,580115,200
2023-04-16T12:08:57,63627,200
2023-04-16T12:08:57,66195,200
2023-04-16T12:08:58,879120,200
2023-04-16T12:08:58,265282,200
2023-04-16T12:08:58,760735,200
2023-04-16T12:09:00,109300,200
2023-04-16T12:09:00,604067,200
2023-04-16T12:09:01,3886,200
2023-04-16T12:09:01,96407,200
2023-04-16T12:09:02,667620,200
2023-04-16T12:09:02,9625,200
2023-04-16T12:09:03,977419,200
2023-04-16T12:09:03,479573,200
2023-04-16T12:09:04,421886,200
2023-04-16T12:09:05,308837,200
2023-04-16T12:09:05,324121,200
2023-04-16T12:09:05,15819,200
2023-04-16T12:09:07,897642,200
2023-04-16T12:09:07,945673,200
2023-04-16T12:09:07,7060,200
2023-04-16T12:09:08,97589,200
2023-04-16T12:09:08,726553,200
2023-04-16T12:09:08,980081,200
2023-04-16T12:09:08,570546,200
2023-04-16T12:09:09,800242,200
2023-04-16T12:09:09,958016,200
2023-04-16T12:09:09,477027,200
2023-04-16T12:09:09,787692,200
2023-04-16T12:09:09,190610,200
2023-04-16T12:09:10,225805,200
2023-04-16T12:09:10,871180,200
2023-04-16T12:09:10,522118,200
2023-04-16T12:09:10,224279,200
2023-04-16T12:09:11,80437,200
2023-04-16T12:09:11,45362,200
2023-04-16T12:09:11,527144,200
2023-04-16T12:09:12,562650,200
2023-04-16T12:09:13,75393,200
2023-04-16T12:09:13,882345,200
2023-04-16T12:09:13,784919,200
2023-04-16T12:09:14,12125,200
2023-04-16T12:09:14,815855,200
2023-04-16T12:09:15,242630,200
2023-04-16T12:09:15,419034,200
2023-04-16T12:09:16,105751,200
2023-04-16T12:09:16,202468,200
2023-04-16T12:09:17,614519,200
2023-04-16T12:09:18,288787,200
2023-04-16T12:09:19,402810,200
2023-04-16T12:09:19,850188,200
2023-04-16T12:09:19,928254,200
2023-04-16T12:09:20,276412,200
2023-04-16T12:09:20,786714,200
2023-04-16T12:09:21,428350,200
2023-04-16T12:09:21,775292,200
2023-04-16T12:09:22,472285,200
2023-04-16T12:09:23,435447,200
2023-04-16T12:09:23,229348,200
2023-04-16T12:09:23,714354,200
2023-04-16T12:09:23,361792,200
2023-04-16T12:09:23,400777,200
2023-04-16T12:09:24,184179,200
2023-04-16T12:09:25,493485,200
2023-04-16T12:09:25,783138,200
2023-04-16T12:09:25,342976,200
2023-04-16T12:09:25,686266,200
2023-04-16T12:09:27,719222,200
2023-04-16T12:09:27,17949,200
2023-04-16T12:09:27,628826,200
2023-04-16T12:09:27,236827,200
2023-04-16T12:09:28,412933,200
2023-04-16T12:09:28,201537,200
2023-04-16T12:09:29,674906,200
2023-04-16T12:09:29,105344,200
2023-04-16T12:09:29,669472,200
2023-04-16T12:09:30,864687,200
2023-04-16T12:09:31,456811,200
2023-04-16T12:09:32,16599,200
2023-04-16T12:09:34,89890,200
2023-04-16T12:09:35,445363,200
2023-04-16T12:09:35,184611,200
2023-04-16T12:09:35,886258,200
2023-04-16T12:09:36,858830,200
2023-04-16T12:09:37,354139,200
2023-04-16T12:09:37,302480,200
2023-04-16T12:09:38,714244,200
2023-04-16T12:09:38,147568,200
2023-04-16T12:09:38,846701,200
2023-04-16T12:09:38,737314,200
2023-04-16T12:09:39,547557,200
